Team,Rank,Freq,order,txt,Season,Round
Melbourne,3,1.3599999999999999,16,1,2019,9
Melbourne,2,0.24,17,<1,2019,9
Melbourne,1,NA,NA,,2019,9
Collingwood,2,31.009999999999998,1,31,2019,9
Collingwood,3,16.869999999999997,2,17,2019,9
Collingwood,4,12.35,3,12,2019,9
Collingwood,1,10.6,4,11,2019,9
Collingwood,5,8.27,5,8,2019,9
Collingwood,6,6.29,6,6,2019,9
Collingwood,7,4.25,7,4,2019,9
Collingwood,8,3.62,8,4,2019,9
Collingwood,9,2.27,9,2,2019,9
Collingwood,10,1.87,10,2,2019,9
Collingwood,11,1.13,11,1,2019,9
Collingwood,12,0.73,12,<1,2019,9
Collingwood,13,0.48,13,<1,2019,9
Collingwood,14,0.16,14,<1,2019,9
Collingwood,15,0.09,15,<1,2019,9
Collingwood,16,0.01,16,<1,2019,9
Collingwood,17,NA,NA,,2019,9
Collingwood,18,NA,NA,,2019,9
West Coast,3,12.770000000000001,1,13,2019,9
West Coast,4,11.59,2,12,2019,9
West Coast,5,10.97,3,11,2019,9
West Coast,6,10.040000000000001,4,10,2019,9
West Coast,7,9.07,5,9,2019,9
West Coast,2,8.82,6,9,2019,9
West Coast,8,7.969999999999999,7,8,2019,9
West Coast,9,7.1,8,7,2019,9
West Coast,10,5.86,9,6,2019,9
West Coast,11,4.44,10,4,2019,9
West Coast,12,3.85,11,4,2019,9
West Coast,13,2.54,12,3,2019,9
West Coast,14,1.82,13,2,2019,9
