Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,seas_rnd,First.Game,round.name,Finals,status,Home.Venue.Exp,Away.Venue.Exp,Home.Interstate,Away.Interstate,Home.Factor,Away.Factor,Home.ELO_pre,Away.ELO_pre,Home.ELO,Away.ELO,Probability,Prediction
61,1897-09-04,15,Geelong,8,4,52,Collingwood,6,12,48,East Melbourne,4,1897,Finals,15,1897.15,FALSE,NA,NA,NA,2,2,FALSE,FALSE,1,0,1521.2908212363625,1508.6637129218655,1522.1874368502681,1507.7670973079598,0.6236534221902122,13
62,1897-09-04,15,Essendon,1,8,14,Melbourne,0,8,8,Lake Oval,6,1897,Finals,15,1897.15,FALSE,NA,NA,NA,2,2,FALSE,FALSE,1,0,1519.9081932370623,1508.5069509584114,1520.8323896185443,1507.5827545769293,0.6120766357392312,12
63,1898-05-14,1,Carlton,6,11,47,Sydney,3,12,30,Princes Park,17,1898,Regular,1,1898.1,TRUE,NA,NA,NA,7,2,FALSE,TRUE,1,0,1486.5232314122234,1504.7387880676292,1490.5990918652972,1500.6629276145554,0.39437437547193793,-10
64,1898-05-14,1,Collingwood,7,6,48,Geelong,3,9,27,Victoria Park,21,1898,Regular,1,1898.1,TRUE,NA,NA,NA,8,2,FALSE,FALSE,1,0,1504.8078332336272,1513.734023410316,1508.2156438117504,1510.3262128321928,0.4936388442610536,-0
65,1898-05-14,1,Essendon,10,10,70,Fitzroy,2,5,17,East Melbourne,53,1898,Regular,1,1898.1,TRUE,NA,NA,NA,8,2,FALSE,FALSE,1,0,1512.895249173879,1491.9274904229298,1514.4889037548783,1490.3338358419305,0.7632013995543515,30
66,1898-05-14,1,St Kilda,2,4,16,Melbourne,13,14,92,Junction Oval,-76,1898,Regular,1,1898.1,TRUE,NA,NA,NA,8,2,FALSE,FALSE,1,0,1480.6796591962764,1504.6937250831193,1478.3393275414733,1507.0340567379224,0.34774615970326667,-15
67,1898-05-21,2,Melbourne,12,11,83,Carlton,4,2,26,M.C.G.,57,1898,Regular,2,1898.2,FALSE,NA,NA,NA,10,3,FALSE,FALSE,1,0,1507.0340567379224,1490.5990918652972,1508.9171988896194,1488.7159497136001,0.720186901679489,24
68,1898-05-21,2,Fitzroy,7,6,48,Collingwood,5,6,36,Brunswick St,12,1898,Regular,2,1898.2,FALSE,NA,NA,NA,8,2,FALSE,FALSE,1,0,1490.3338358419305,1508.2156438117504,1494.3365580367793,1504.2129216169017,0.4052418729793964,-9
69,1898-05-21,2,Sydney,3,9,27,Essendon,5,8,38,Lake Oval,-11,1898,Regular,2,1898.2,FALSE,NA,NA,NA,8,3,TRUE,FALSE,1,0,1500.6629276145554,1514.4889037548783,1497.829195757595,1517.3226356118387,0.42105971128684244,-7
70,1898-05-21,2,Geelong,11,19,85,St Kilda,2,5,17,Corio Oval,68,1898,Regular,2,1898.2,FALSE,NA,NA,NA,9,2,FALSE,FALSE,1,0,1510.3262128321928,1478.3393275414733,1511.4202890272043,1477.2452513464618,0.8374329576506002,41
